"abstract","web_url","snippet","lead_paragraph","print_section","print_page","pub_date","_id","word_count","uri"
"LEAD: Officials at the International Energy Agency, which represents 21 oil-consuming nations, predict that a substantial oil shortage will develop late this year. At present, however, daily worldwide demand for oil is only slightly greater than supply, despite the embargo on Iraqi and Kuwaiti crude.","https://www.nytimes.com/1990/08/31/business/year-end-oil-shortage-predicted.html","","Officials at the International Energy Agency, which represents 21 oil-consuming nations, predict that a substantial oil shortage will develop late this year. At present, however, daily worldwide demand for oil is only slightly greater than supply, despite the embargo on Iraqi and Kuwaiti crude.","D","1","1990-08-31T05:00:00+0000","nyt://article/429da453-c8d4-5032-bebf-eeb8eb11b4fa",988,"nyt://article/429da453-c8d4-5032-bebf-eeb8eb11b4fa"
"LEAD: Energy Secretary James D. Watkins said today that the Bush Administration was responding to the Persian Gulf crisis with a ''short-term strategy'' for stabilizing oil markets by raising domestic production and encouraging conservation. It will not speed up a new national energy policy now being developed, he said.","https://www.nytimes.com/1990/08/31/us/us-energy-policy-to-stress-output-and-conservation.html","","Energy Secretary James D. Watkins said today that the Bush Administration was responding to the Persian Gulf crisis with a ''short-term strategy'' for stabilizing oil markets by raising domestic production and encouraging conservation. It will not speed up a new national energy policy now being developed, he said.","A","1","1990-08-31T05:00:00+0000","nyt://article/88bfb5fe-f3ef-5245-9182-3995aa3620f4",1452,"nyt://article/88bfb5fe-f3ef-5245-9182-3995aa3620f4"
"LEAD: The deputy chairman of the British Petroleum Company said today that he expected the new OPEC production agreement to keep oil prices in the mid-$20's.","https://www.nytimes.com/1990/08/31/business/bp-s-outlook-on-oil-prices.html","","The deputy chairman of the British Petroleum Company said today that he expected the new OPEC production agreement to keep oil prices in the mid-$20's.","D","9","1990-08-31T05:00:00+0000","nyt://article/b9f5f723-f642-5398-b871-accb29cf8b2c",245,"nyt://article/b9f5f723-f642-5398-b871-accb29cf8b2c"
"LEAD: Following are excerpts from President Bush's news conference in Washington today, as provided by the Federal News Service, a transcription company:       OPENING STATEMENT","https://www.nytimes.com/1990/08/31/world/confrontation-gulf-excerpts-president-s-conference-gulf-crisis.html","","Following are excerpts from President Bush's news conference in Washington today, as provided by the Federal News Service, a transcription company:","A","11","1990-08-31T05:00:00+0000","nyt://article/f5ac37a1-3c3d-5675-92ed-caa3c72a8eaf",2581,"nyt://article/f5ac37a1-3c3d-5675-92ed-caa3c72a8eaf"
"LEAD: Saying that oil supplies remained nearly in balance with demand despite the embargo against Iraqi and Kuwaiti oil, the International Energy Agency, which represents 21 industrial nations, decided today not to recommend that members begin drawing down emergency reserves.","https://www.nytimes.com/1990/09/01/business/no-need-seen-to-tap-oil-reserve.html","","Saying that oil supplies remained nearly in balance with demand despite the embargo against Iraqi and Kuwaiti oil, the International Energy Agency, which represents 21 industrial nations, decided today not to recommend that members begin drawing down emergency reserves.","1","27","1990-09-01T05:00:00+0000","nyt://article/6b4b2382-2c78-5ba7-8aa7-749da0103214",790,"nyt://article/6b4b2382-2c78-5ba7-8aa7-749da0103214"
"LEAD:    INTERNATIONAL       OPEC Decides to Give the Desired Response       One doesn't just order a cab driver in the Arab world to head across town. One respectfully inquires if he is going in that direction. On Wednesday, the Organization of Petroleum Exporting Countries announced that it is, indeed, going where the United States would like.","https://www.nytimes.com/1990/09/02/business/business-diary-august-26-31.html","","INTERNATIONAL","3","2","1990-09-02T05:00:00+0000","nyt://article/9d1b835c-05e4-5b40-b0f6-7726cb433669",1591,"nyt://article/9d1b835c-05e4-5b40-b0f6-7726cb433669"
"LEAD: At the heart of Iraq's dispute with Kuwait over oil, money and boundaries lies a huge banana-shaped oil forma tion some 10,200 feet below the desert sands.","https://www.nytimes.com/1990/09/03/world/confrontation-in-the-gulf-the-oilfield-lying-below-the-iraq-kuwait-dispute.html","","Percentages Set by Formula","1","7","1990-09-03T05:00:00+0000","nyt://article/ee821c78-d303-5f85-983f-2297be6dc4fc",1372,"nyt://article/ee821c78-d303-5f85-983f-2297be6dc4fc"
"LEAD: Oil prices rose today in London and Singapore as traders' hopes of a peaceful solution to the Persian Gulf crisis faded, oil traders said.","https://www.nytimes.com/1990/09/04/business/price-of-oil-rises-abroad.html","","Because of the Labor Day holiday, there was no trading on the New York Mercantile Exchange, where the closing price Friday was $27.32 a barrel, up 55 cents.","D","3","1990-09-04T05:00:00+0000","nyt://article/2ec00831-1d63-5337-800f-6cb91b7efe86",274,"nyt://article/2ec00831-1d63-5337-800f-6cb91b7efe86"
"LEAD: President Bush has made clear that a primary aim of the U.S. intervention in the Persian Gulf is to assure Western access to oil at reasonable market prices. What this rationale ignores are the huge military and foreign aid costs of maintaining that access. When these are factored in, the oil is anything but cheap - even in peacetime.","https://www.nytimes.com/1990/09/04/opinion/the-real-cost-of-mideast-oil.html","LEAD: President Bush has made clear that a primary aim of the U.S. intervention in the Persian Gulf is to assure Western access to oil at reasonable market prices. What this rationale ignores are the huge military and foreign aid costs of maintain...","LEAD: President Bush has made clear that a primary aim of the U.S. intervention in the Persian Gulf is to assure Western access to oil at reasonable market prices. What this rationale ignores are the huge military and foreign aid costs of maintaining that access. When these are factored in, the oil is anything but cheap - even in peacetime.","A","17","1990-09-04T05:00:00+0000","nyt://article/8d0c341f-aa99-5517-a94f-b779aaf274a3",526,"nyt://article/8d0c341f-aa99-5517-a94f-b779aaf274a3"
"LEAD: Compounding the shortages brought on by the Middle East crisis, Soviet oil production has fallen more than half a million barrels a day since last year.","https://www.nytimes.com/1990/09/06/business/soviet-oil-output-off-worsening-shortages.html","","Moscow has focused its investments on programs that will put more products on store shelves, at the expense of investment in the oil industry. One expected result is higher gasoline prices in the United States, the world's second biggest producer, but the biggest importer.","A","1","1990-09-06T05:00:00+0000","nyt://article/33b78118-a5cd-5e32-9577-859f5bd93036",116,"nyt://article/33b78118-a5cd-5e32-9577-859f5bd93036"
"LEAD: Independent of the Iraq crisis, which has taken some 4.6 million barrels of oil a day off the world market, oil production in the Soviet Union has fallen by more than half a million barrels a day since last year, and it is likely to continue declining, according to analysts in the United States and","https://www.nytimes.com/1990/09/06/business/ripple-effect-of-soviet-oil-drop.html","","In addition, early this year Moscow stopped its worldwide marketing of Iraqi oil, which it had received in exchange for arms shipments, according to experts. Experts say Iraq produced that oil, estimated at 145,000 to 200,000 barrels a day last year, outside its quota set by the Organization of Petroleum Exporting Countries, and its loss further reduces world supplies.","D","1","1990-09-06T05:00:00+0000","nyt://article/7b7885b1-b9a8-5af1-b384-85fa91045ddf",1173,"nyt://article/7b7885b1-b9a8-5af1-b384-85fa91045ddf"
