"abstract","web_url","snippet","lead_paragraph","print_section","print_page","pub_date","_id","word_count","uri"
"Canadian Energy Min Alastair Gillespie says tax on oil exported to US will rise from $7 (Canadian) to $8 (Canadian) a bbl as of Apr 1; Canadian exports dropped from peak of more than a million bbls a day 5 yrs ago to current level of 200,000 bbls a day; US is expected to import about 8.5 million to 9 million bbls a day from all sources through '79 (M)","https://www.nytimes.com/1979/03/31/archives/us-to-pay-5-more-for-canada-oil-ottawa-raising-its-export-tax.html","Canadian Energy Min Alastair Gillespie says tax on oil exported to US will rise from $7 (Canadian) to $8 (Canadian) a bbl as of Apr 1; Canadian exports dropped from peak of more than a million bbls a day 5 yrs ago to current level of 200,000 bbls ...","OTTAWA. March 30 (AP) — The United States will be paving about 5 percent more for high‐quality Canadian crude oil as of Sunday because Canada is raising its oil export tax, the nation's energy minister, Alastair Gillespie, said today.",NA,"30","1979-03-31T05:00:00+0000","nyt://article/a4bfb2c2-1d63-5d4b-8e11-bf7ae97c5882",551,"nyt://article/a4bfb2c2-1d63-5d4b-8e11-bf7ae97c5882"
"Fear over oil price increases last week reached such proportions that when the producer nations finally agreed on a 9 percent rise, the first response was a masochistic tendency to ask: Is that all?","https://www.nytimes.com/1979/04/01/archives/upward-onward-with-oil-prices.html","","Fear over oil price increases last week reached such proportions that when the producer nations finally agreed on a 9 percent rise, the first response was a masochistic tendency to ask: Is that all?","E","1","1979-04-01T05:00:00+0000","nyt://article/314a33fa-1fcd-5f82-ab69-077a716b15ce",414,"nyt://article/314a33fa-1fcd-5f82-ab69-077a716b15ce"
"Russell Baker article on how he resists buying new car; drawing (M)","https://www.nytimes.com/1979/04/01/archives/sunday-observer-auto-suggetion.html","Russell Baker article on how he resists buying new car; drawing (M)","Many persons have written asking the secret of my technique for not buying a new car. Aware that it could destroy the American economy and reduce the sheiks of OPEC to prowling the streets with pleas for baksheesh, I divulge it here with the greatest reluctance.","SM","5","1979-04-01T05:00:00+0000","nyt://article/8fded697-7981-5f48-8c45-031a197fb0b7",788,"nyt://article/8fded697-7981-5f48-8c45-031a197fb0b7"
"WASHINGTON &#8212; Once again, the cartel of oil&#8208;exporting governments has flexed its muscles, marked up prices and reminded the United States and other oil&#8208;hungry countries how vulnerable they really are.","https://www.nytimes.com/1979/04/01/archives/opec-how-vulnerable-we-are-the-economic-scene.html","","WASHINGTON — Once again, the cartel of oil‐exporting governments has flexed its muscles, marked up prices and reminded the United States and other oil‐hungry countries how vulnerable they really are.","F","1","1979-04-01T05:00:00+0000","nyt://article/ae16431c-0cac-57cc-b9e2-e08e8346fac4",1975,"nyt://article/ae16431c-0cac-57cc-b9e2-e08e8346fac4"
"Article on increase in soybean exports notes commodity adviser Conrad Leslie has urged export fee on soybean shipments to OPEC nations to offset trade deficit of oil imports; Commodity Research Bur repts soybean exports, for crop season through wk ended Mar 16, totaled 479.6 million bushels, up about 27% over yr ago; graph (M)","https://www.nytimes.com/1979/04/02/archives/commodities-soybean-export-potential.html","Article on increase in soybean exports notes commodity adviser Conrad Leslie has urged export fee on soybean shipments to OPEC nations to offset trade deficit of oil imports; Commodity Research Bur repts soybean exports, for crop season through wk...","WHAT does soybean have to do with a barrel of Arabian oil? great deal, because soybeans are an important export for the United States.","D","3","1979-04-02T05:00:00+0000","nyt://article/302bb6ca-8319-5a0f-abc5-735de1cede1c",796,"nyt://article/302bb6ca-8319-5a0f-abc5-735de1cede1c"
"Pemex, Mexican national oil company, postpones setting a new price for crude oil exports pending clarification of international market conditions (S)","https://www.nytimes.com/1979/04/02/archives/mexico-postpones-setting-oil-price.html","Pemex, Mexican national oil company, postpones setting a new price for crude oil exports pending clarification of international market conditions (S)","MEXICO CITY, April 1 — Mexico has postponed setting a new price for its crude oil exports pending clarification of international market conditions, the state oil monopoly, Petroleos Mexicanos, announced today.","D","3","1979-04-02T05:00:00+0000","nyt://article/a60e24ed-a569-54f3-8b40-69bb1d9b14f2",154,"nyt://article/a60e24ed-a569-54f3-8b40-69bb1d9b14f2"
"Repub Pres candidate Sen Lowell P Weicker proposes natl fuel-conservation program coupled with deregulation of fuel prices to prevent 'selling out Israel for a gallon of gas,' United Jewish Appeal speech (S)","https://www.nytimes.com/1979/04/02/archives/weicker-urges-a-plan-on-saving-fuel-to-bar-selling-out-of-israel.html","Repub Pres candidate Sen Lowell P Weicker proposes natl fuel-conservation program coupled with deregulation of fuel prices to prevent 'selling out Israel for a gallon of gas,' United Jewish Appeal speech (S)","Senator Lowell P. Weicjcer of Connecticut, a declared candidate for the Republican Presidential nomination, called yesterday for a national fuel‐conservation program coupled with the deregulation of fuel prices to prevent “selling out Israel for a gallon of gas.”","B","4","1979-04-02T05:00:00+0000","nyt://article/b2d58ce5-8bfb-5a19-86cb-c1e1e50295a8",336,"nyt://article/b2d58ce5-8bfb-5a19-86cb-c1e1e50295a8"
"Pres Carter will reptdly propose tax on domestic oil that could produce $3 billion to $5 billion a yr in Fed revenues, which would be used in part to develop nonconventional energy resouces (S)","https://www.nytimes.com/1979/04/03/archives/carter-to-ask-tax-on-oil-and-release-of-price-restraints-plan-due.html","Pres Carter will reptdly propose tax on domestic oil that could produce $3 billion to $5 billion a yr in Fed revenues, which would be used in part to develop nonconventional energy resouces (S)","WASHINGTON, April 2 — President Carter plans to propose a complex twopart tax on domestic oil and to begin immediately allowing the price of oil produced in the United States to rise, Administration officials said today.","A","1","1979-04-03T05:00:00+0000","nyt://article/29693e35-a857-5318-aca5-ce99237477b8",1285,"nyt://article/29693e35-a857-5318-aca5-ce99237477b8"
"dollar rises sharply against yen despite intervention by Bank of Japan; closes at 211.10 yen; graph (M)","https://www.nytimes.com/1979/04/03/archives/dollar-up-sharply-in-tokyo-dollar-surges-in-tokyo-bank-warns-on.html","dollar rises sharply against yen despite intervention by Bank of Japan; closes at 211.10 yen; graph (M)","TOKYO, April 2—The United States dollar rose sharply against the yen on the Tokyo foreign exchange market today despite intervention by the Bank of Japan. The American currency closed at 211.10 yen, its highest level in nine and a half months.","D","1","1979-04-03T05:00:00+0000","nyt://article/695cd768-8977-5e26-afed-1abf93aea7f2",452,"nyt://article/695cd768-8977-5e26-afed-1abf93aea7f2"
"A two&#8208;part tax on domestic oil and gradual price increases on oil produced in the United States will be endorsed by President Carter as the centerpieces of the Administration's complex new energy program, officials said. The measures are expected to produce $3 billion to $5 billion annually in Federal revenues by 1981 and to result in higher prices for domestic oil products in addition to any increases imposed by oil&#8208;exporting countries. The White House is expected to announce the new program within the next few days. [Page A1]","https://www.nytimes.com/1979/04/03/archives/business-digest-the-economy.html","","A two‐part tax on domestic oil and gradual price increases on oil produced in the United States will be endorsed by President Carter as the centerpieces of the Administration's complex new energy program, officials said. The measures are expected to produce $3 billion to $5 billion annually in Federal revenues by 1981 and to result in higher prices for domestic oil products in addition to any increases imposed by oil‐exporting countries. The White House is expected to announce the new program within the next few days. [Page A1]","D","1","1979-04-03T05:00:00+0000","nyt://article/e66baee0-fa5b-5ba8-9f3f-5712d15b5313",643,"nyt://article/e66baee0-fa5b-5ba8-9f3f-5712d15b5313"
"When the President steps before the cameras tonight to tell what serious steps he intends to take on energy, his biggest obstacle will be the question that lingers in many minds: Is there really an oil shortage? By word and deed, Americans continue to express their doubts. In a recent poll, only 20 percent believed there is a shortage. And, as if to show their contempt for Government exhortations fo conserve, motorists have gone on a driving jag.","https://www.nytimes.com/1979/04/05/archives/yes-there-is-an-oil-shortage.html","","When the President steps before the cameras tonight to tell what serious steps he intends to take on energy, his biggest obstacle will be the question that lingers in many minds: Is there really an oil shortage? By word and deed, Americans continue to express their doubts. In a recent poll, only 20 percent believed there is a shortage. And, as if to show their contempt for Government exhortations fo conserve, motorists have gone on a driving jag.","A","22","1979-04-05T05:00:00+0000","nyt://article/34f6c632-dd42-5b97-afb6-470d848c18c7",629,"nyt://article/34f6c632-dd42-5b97-afb6-470d848c18c7"
"Mexico and Indonesia raise prices of their crude oil exports by more than the 9% increase approved by OPEC last wk; Petroleos Mexicanos, Mexican natl oil co, raises price of its crude oil $3 to $17.10 a bbl; 21% increase is retroactive to Apr 1; Indonesia's increase of 12% to 14.5% is not described as surcharge but rather as price differential that reflects higher quality of Indonesian crude oil (S)","https://www.nytimes.com/1979/04/05/archives/mexican-indonesian-oil-up.html","Mexico and Indonesia raise prices of their crude oil exports by more than the 9% increase approved by OPEC last wk; Petroleos Mexicanos, Mexican natl oil co, raises price of its crude oil $3 to $17.10 a bbl; 21% increase is retroactive to Apr 1; I...","Mexico and Indonesia raised the prices of their crude oil exports yesterday by more than the 9 percent increase approved by the Organization of Petroleum Exporting Countries last week.","D","15","1979-04-05T05:00:00+0000","nyt://article/68b96197-4ad7-5ada-b9b3-be2d2de14c40",230,"nyt://article/68b96197-4ad7-5ada-b9b3-be2d2de14c40"
"Lr by Austrian Consul Gen Thomas Nowotny disputes rept in Mar 29 article of negative Austrian reaction to Holocaust TV series","https://www.nytimes.com/1979/04/05/archives/letters-pitfalls-of-bypassing-con-ed.html","Lr by Austrian Consul Gen Thomas Nowotny disputes rept in Mar 29 article of negative Austrian reaction to Holocaust TV series","Pitfalls of Bypassing Con Ed","A","22","1979-04-05T05:00:00+0000","nyt://article/6add3cb1-cd59-5172-9b63-cc80118c64a7",1989,"nyt://article/6add3cb1-cd59-5172-9b63-cc80118c64a7"
"Spot check of energy economists finds that OPEC price increase and premiums being charged by individual oil producers will be painful for US, but not intolerable; comments by Edward A Hudson (Jorgenson Assocs), John C Zanzow (Chase Econometric Assocs), Bruce Hannon (Univ of Ill) and Charles E Phelps (Rand Corp) (M)","https://www.nytimes.com/1979/04/05/archives/oil-price-rises-called-painful-for-us-but-bearable-oil-price-rises.html","Spot check of energy economists finds that OPEC price increase and premiums being charged by individual oil producers will be painful for US, but not intolerable; comments by Edward A Hudson (Jorgenson Assocs), John C Zanzow (Chase Econometric Ass...","The sharp increases in the price of oil that took effect this week will be painful for the United States but not intolerable, according to a spot check of energy economists interviewed since the increases were announced last week.","A","1","1979-04-05T05:00:00+0000","nyt://article/b012abcd-bd81-5c5f-8163-fa6a57bab0f9",1454,"nyt://article/b012abcd-bd81-5c5f-8163-fa6a57bab0f9"
"Pres Carter, announcing energy conservation program, would exempt hotels and motels from mandatory thermostat settings (S)","https://www.nytimes.com/1979/04/06/archives/decontrol-a-complete-turnabout-in-strategy-news-analysis-a-paucity.html","Pres Carter, announcing energy conservation program, would exempt hotels and motels from mandatory thermostat settings (S)","WASHINGTON, April 5 — For the Administration, the transformation could hardly have been more complete. From his unwavering support for continued oil price controls during the 1976 election campaign, President Carter has now staked out firm ground in the camp of the decontrol forces.","D","3","1979-04-06T05:00:00+0000","nyt://article/02cb17e9-07d6-546f-964f-78b36d92024b",856,"nyt://article/02cb17e9-07d6-546f-964f-78b36d92024b"
"Pros Carter says part of proceeds from his proposed windfall profits tax on oil co profits will be used to finance development of solar, nuclear, fossil, geothermal and other energy sources, Apr 5 TV speech; signs exec order setting strict deadlines for cutting through Fed red tape on important new energy projects; graph of how tax revenues will be spent (M)","https://www.nytimes.com/1979/04/06/archives/transcript-of-carters-talk-on-national-energy-policy-phased.html","Pros Carter says part of proceeds from his proposed windfall profits tax on oil co profits will be used to finance development of solar, nuclear, fossil, geothermal and other energy sources, Apr 5 TV speech; signs exec order setting strict deadlin...","Following is a transcript of President Carter's address on energy policy last night in Washington, as recorded by The New York Times through the facilities of ABC News:","D","3","1979-04-06T05:00:00+0000","nyt://article/3c72ca1f-5835-5c5f-8458-b39a8e90e9bd",2807,"nyt://article/3c72ca1f-5835-5c5f-8458-b39a8e90e9bd"
"Pres Carter says he will immediately require that thermostats in nonresidential bldgs be set no higher than 65 degrees in winter once Cong authorizes him to do so, Apr 5 TV speech; proposes tax credit to encourage use of wood-burning stoves (M)","https://www.nytimes.com/1979/04/06/archives/carter-to-end-price-control-on-us-oil-and-urge-congress-to-tax-any.html","Pres Carter says he will immediately require that thermostats in nonresidential bldgs be set no higher than 65 degrees in winter once Cong authorizes him to do so, Apr 5 TV speech; proposes tax credit to encourage use of wood-burning stoves (M)","WASHINGTON, April 5 — President. Carter told the nation tonight that he would gradually lift price controls on domestic crude oil, and ask Congress for a tax on any “windfall profits” that resulted for oil producers, as part of a complex and potentially controversial plan to end America's dependency on foreign oil.","A","1","1979-04-06T05:00:00+0000","nyt://article/dc2bb76d-aa18-559b-a318-9c697088a7ff",1632,"nyt://article/dc2bb76d-aa18-559b-a318-9c697088a7ff"
